"PERSON","TALKS","GENDER","STAYED"
"H1","29","M","Y"
"01","40","M","Y"
"02","7","M","Y"
"03","9","M","Y"
"04","6","M","Y"
"05","8","M","Y"
"06","2","M","Y"
"07","5","M","Y"
"08","1","M","Y"
"09","0","M","Y"
"10","3","M","Y"
"11","1","M","Y"
"12","1","M","Y"
"13","0","M","Y"
"14","0","M","Y"
"15","0","M","Y"
"16","0","M","Y"
"17","0","M","Y"
"18","0","M","Y"
"19","0","M","Y"
"20","0","M","Y"
"21","0","M","Y"
"22","0","M","Y"
"23","0","M","Y"
"24","0","M","Y"
"25","0","M","N"
"26","0","M","N"
"27","0","M","N"
"28","0","F","N"
