"PERSON","TALKS","GENDER","STAYED"
"H1","5","M","Y"
"01","23","M","Y"
"02","0","M","Y"
"03","4","M","Y"
"04","1","M","Y"
"05","1","M","Y"
"06","7","M","N"
"07","4","M","Y"
"08","1","M","N"
"09","2","M","Y"
"10","2","M","Y"
"11","1","M","Y"
"12","3","M","Y"
"13","2","M","Y"
"14","7","F","Y"
"15","1","M","Y"
"16","2","M","Y"
"17","2","M","Y"
"18","1","M","Y"
"19","1","M","Y"
"20","1","M","N"
"21","0","M","Y"
"22","0","M","Y"
"23","0","M","Y"
"24","0","M","Y"
"25","0","M","Y"
"26","0","M","L"
"27","0","M","L"
"28","0","M","N"
"29","0","M","N"
"30","0","M","Y"
"31","0","F","N"
"32","0","F","N"
"33","0","F","N"
"34","0","F","N"
"35","0","F","N"
"36","0","F","L"
